SampleID,YEAR,MONTH,REGION,SUB_REGION_NAME,rugosityMethod,rugosity,Acropora,Agaricia,Cladocora,Colpophyllia,Dendrogyra,Dichocoenia,Diploria,Eusmilia,Favia,Helioseris,Isophyllia,Madracis,Manicina,Meandrina,Montastraea,Mussa,Mycetophyllia,Oculina,Orbicella,Other,Phyllangia,Porites,Pseudodiploria,Scolymia,Siderastrea,Solenastrea,Stephanocoenia,Tubastraea
6462979-2016,2016,7,PRICO,SWPRICO,WTD_RUG,0.563333333,0,263.893782901543,0,0,0,0,0,0,103.672557568463,0,0,0,0,401.338461496096,295.309709437441,0,0,0,2264.53067054223,0,0,798.930573752786,331.516564770063,0,1759.41754971643,0,157.07963267949,0
6600632-2016,2016,7,PRICO,SWPRICO,WTD_RUG,0.243333333,0,0,0,0,0,0,0,0,0,0,0,0,0,150.79644737231,0,0,0,0,0,0,0,0,200.276531666349,0,122.757732939021,0,0,0
6978939-2016,2016,7,PRICO,SWPRICO,WTD_RUG,0.523333333,0,446.891554973148,0,942.477796076938,19.7920337176157,0,0,0,0,0,0,37.6991118430775,0,2542.96217344826,2305.77192810223,0,0,0,0,0,0,241.588475061055,2186.19505772497,0,0,0,0,0
6449198-2016,2016,7,PRICO,SWPRICO,WTD_RUG,0.643333333,0,0,0,0,0,23.5619449019234,0,0,0,0,0,0,0,0,0,0,0,0,593.761011528471,0,0,1310.04413654694,632.166981718606,0,37.3064127613788,0,0,0
6518028-2016,2016,7,PRICO,SWPRICO,WTD_RUG,0.936666667,0,901.637091580271,0,0,0,0,0,0,0,0,0,0,0,112.31193736583501,0,0,0,0,1658.28968219737,0,0,750.055246044563,77.7544181763474,0,476.893764814931,0,27.4889357189107,0
6676330-2016,2016,7,PRICO,SWPRICO,WTD_RUG,0.31,0,226.194671058465,0,0,0,0,0,0,0,0,0,0,0,0,391.128285371929,0,0,0,0,0,0,798.749932175205,226.194671058465,0,339.794661412272,0,155.508836352695,0
6366531-2016,2016,7,PRICO,SWPRICO,WTD_RUG,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,113.097335529233,0,0,0,0,0,0,0,27.4889357189107,0,0,0,0,0,0
4090476-2016,2016,8,PRICO,SWPRICO,WTD_RUG,0.863333333,0,1165.6094142981501,0,0,0,0,188.495559215388,0,0,0,0,804.129909594477,0,145.652089402057,410.134920926148,0,0,0,5318.71636252752,0,0,3511.00467974378,1072.85389120091,0,1892.7703038796799,0,0,0
4324321-2016,2016,7,PRICO,SWPRICO,WTD_RUG,0.563333333,0,860.325148185565,0,0,0,28.2743338823081,0,0,0,0,0,0,0,117.181405978899,259.181393921158,0,0,0,5035.42324499006,0,0,869.435766880975,113.097335529233,0,1865.67406724247,97.3893722612836,428.827397215007,0
5686380-2016,2016,9,PRICO,SWPRICO,WTD_RUG,0.163333333,0,253.055288246658,0,0,0,36.1283155162826,0,0,0,0,0,75.398223686155,0,86.3937979737193,19.7920337176157,0,0,0,98.174770424681,0,0,406.836248639878,226.194671058465,0,125.663706143592,0,32.9867228626928,0
8115792-2016,2016,8,PRICO,SWPRICO,WTD_RUG,0.27,0,385.465564613834,0,0,0,0,0,0,0,0,0,0,0,0,562.816323890611,0,0,0,0,0,0,233.106174896363,424.74332676534,0,149.264920953685,0,0,0
5851690-2016,2016,8,PRICO,SWPRICO,WTD_RUG,0.163333333,0,303.996213124616,0,0,0,69.2721180116549,0,0,0,0,0,28.2743338823081,0,765.763209312512,2086.41022106532,0,0,0,0,0,0,188.495559215388,1045.364955482,0,1054.3106405631,21.9911485751286,331.438024953723,0
3761959-2016,2016,6,PRICO,SWPRICO,WTD_RUG,0.403333333,0,507.83845245279,0,0,0,0,0,0,0,0,0,155.901535434394,0,0,59.6902604182061,0,0,0,5113.73529586242,0,0,676.863991197555,111.96636217394,0,421.130495213712,0,147.65485471872,0
4285039-2016,2016,6,PRICO,SWPRICO,WTD_RUG,0.256666667,0,628.318530717959,0,0,0,0,94.2477796076938,0,0,0,0,45.9457925587507,0,0,2623.70110464552,226.194671058465,0,0,0,0,0,1197.10388065039,0,0,210.486707790516,0,0,0
3773732-2016,2016,8,PRICO,SWPRICO,WTD_RUG,0.243333333,0,141.371669411541,0,0,0,0,0,0,0,0,0,131.946891450771,0,0,0,0,0,0,154.566358556618,0,0,288.790904681242,0,0,25.2898208613978,0,0,0
3952762-2016,2016,8,PRICO,SWPRICO,WTD_RUG,0.483333333,0,1561.29300901779,0,933.838416279566,0,0,0,0,0,0,0,59.3761011528471,0,0,197.920337176157,0,0,0,3063.68115578077,0,0,3207.4090196825,91.8915851175014,0,236.090687917273,0,12.566370614359201,0
